Hashtags,Hashtag_count,Mentions,Mention_count,TermsOnly,Term_count,Language,Language_count,ScreenName,screenname_count,Places,places_count
#news,67,@FiatIndia,62,full,388,,,nagubela,26,Wellington,4
#ToyotaSafetyLeaders,64,@rohit_khurana,62,sneak,386,,,heta2792,26,Central America,4
#TrucksAtExpoContest,64,@CMOfficeUP,59,Show,384,,,yo_yo_baba,26,Auckland,4
#MylerAtExpo,64,@drivesparkcom,59,Motor,382,,,tofarzeen,26,Brussels,4
#contest,62,@MahindraRise,58,concept,380,,,pyaribitiya,26,Krasnoyarsk,3
#VolkswagenAutoExpo,62,@khabarbaazi,58,look,379,,,Modii_ji,26,Santiago,3
#AudiQnA,58,@EconomicTimes,57,JBL,379,,,Akshay456Akshay,26,Sydney,3
#Best18,58,@sachin_rt,57,http,377,,,ajayhere,26,Moscow,3
#SCrossLE,57,@JeepIndia,57,–,375,,,MIssfilmy_,25,Bogota,3
#GYatExpo16,55,@KamalMahrshi,55,showcased,363,,,SnehalataJ,25,Urumqi,3
#EicherLive,55,@MotorBeam,54,It's,362,,,TheBrkNews,25,Osaka,3
#topnews,54,@Rohit_Paradkar,54,hot,355,,,rvirgo9,25,Buenos Aires,3
#Mustang,53,@UMMotorcycles,52,di,347,,,priya1_jain,25,Lisbon,2
#StreetTwin,53,@JBMAuto,51,see,346,,,sunitakatyal,25,Seoul,2
#AudiAtAutoExpo,52,@odmag,50,one,342,,,immadhuchandra,25,Ljubljana,2
#auto,51,@sidpatankar,50,lot,340,,,rowdy_abhishek,24,Istanbul,2
#VitaraBrezza,51,@CarDekho,50,4,336,,,TVSMotor,24,Mazatlan,2
#newsofweek,50,@Vespa_IN,49,get,336,,,iSagardutt,24,Irkutsk,2
#Greenovation,49,@imVkohli,49,visitors,335,,,modipreksha,24,JST,2
#hybrid,49,@ScaniaIndia,49,???,333,,,Akkiangirl,24,Hong Kong,2
#ForTheRide,49,@TeamAkshay,46,i8,327,,,InMyLifeeeeee,24,Kuwait,2
#2016AutoExpo,48,@SoDelhi,46,wheels,323,,,pb_News_anc,24,Mid-Atlantic,2
#Mahindra,48,@SouLSteer,46,flaunts,322,,,Arnab_Go_Swami,23,Hobart,2
