Hashtags,Hashtag_count,Mentions,Mention_count,TermsOnly,Term_count,Language,Language_count,ScreenName,screenname_count,Places,places_count
#AETmS2016,1,@SaumyaKoley,1,Q2,21,,,Hemang_999,4,,
#G310R,1,@ShikharAAP,1,HINDI,21,,,DigitalSumit,4,,
#Heaven,1,@bhadrolok,1,vouchers,21,,,pradeep8522886,4,,
#Ecosport,1,@fab_firdous,1,Grand,21,,,priyankadatta17,4,,
#carshow,1,@zubariasardar,1,futuristic,21,,,raghav_sarma,4,,
#DelhiAutoExpo16,1,@GaurVikram,1,CLICK,21,,,KhiladiPrashant,4,,
#Innovacrysta,1,@nikhdev,1,"71,000",21,,,CNBCTV18News,4,,
#HeartNews,1,@ShamlaFathi,1,picnic,21,,,3novices,4,,
#Damn,1,@rgitracing,1,kicks,21,,,mummykibeti1,4,,
#Shark,1,@jawaharyadavbjp,1,Trying,21,,,TeamAkshay,4,,
#ExperienceTransform,1,@aashiqali500,1,?????,21,,,a7de75d3ae414ce,4,,
#epicfail,1,@usapanghugot,1,long,21,,,SalmanKiKomal,4,,
#Motogp,1,@Deipakk,1,organised,21,,,jalanprerna11,4,,
#formula,1,@Bobby1941_,1,Aprilia,21,,,faridabadtutor,4,,
#Greenova,1,@mpazhar,1,Bouncers,21,,,BadgalAvdesh,4,,
#Starbus,1,@TheGhostR,1,Akkistaan,21,,,D_D_great,4,,
#Dit,1,@sensneha,1,stuff,21,,,Aditya_7114,4,,
#simulation,1,@BhaktisBanter,1,Policemens,21,,,Chintan_K_,4,,
#mahindratwowheeler,1,@McLaren_Soul,1,NDTV,21,,,MubeenRaza16,4,,
#AdytudeRewards,1,@Ekta_Sengar,1,impressed,21,,,Mukulgoel20,4,,
#HondacarsIndia,1,@ksrtcblog,1,Off-road,21,,,puri_rahulpuri,4,,
#eyesmile,1,@ghazal_javed,1,simply,21,,,rosalinda123453,4,,
#Bestsince,1,@instabollywood_,1,SCAN,21,,,bababdadigital,4,,
#Zoolander2,1,@taapseeFANCLUB,1,hours,21,,,shenoy_cd,4,,
#RacingVersion,1,@dr_rtrt,1,Climber,21,,,mathswalamaster,4,,
#R8V10Plus,1,@vvek_parmar,1,24,21,,,iconic_Ishani_D,4,,
#AutoParts,1,@gauravjd09,1,Planning,21,,,Zshahidzs,4,,
#UKPavillion,1,@DharamBaskar,1,two-wheelers,21,,,sumitkumarsha,4,,
#MercedesBenzIndia,1,@genki_sudo,1,Walkaround,21,,,baloni_sunil,4,,
#spotfranky,1,@pandu008m,1,ur,21,,,Ni3_Prajapati,4,,
#BestConceptBikeOfTheShow,1,@marutidzire,1,today's,21,,,AbhaDeshai,4,,
#TheEssentials,1,@srikanth2828,1,bagged,20,,,VitaraBrezza,4,,
#setup,1,@NaazBajwa,1,Spotted,20,,,divyamisra2,4,,
#Bolt,1,@theyashbhatt,1,°,20,,,AnandGroupIndia,4,,
#MondayBlues,1,@jayantkhanna01,1,we're,20,,,MeenuShama92,4,,
#WorldSports,1,@atanshumman,1,Smart,20,,,ec18baa901e648b,4,,
#energytransformotion,1,@nimmu4545,1,???,20,,,AwanBr111,4,,
#VMax,1,@MarkTerlaak_DSM,1,Akkian,20,,,mohitsharma_1,4,,
#Revolution,1,@HondaJP,1,Proudest,20,,,being_dubey,4,,
#ToyotaCarShoot,1,@Manojdora,1,anthem,20,,,MusicLover_IAm,4,,
#Movin,1,@tariquekhan2013,1,Thank,20,,,RetweetKiQueen,4,,
#GYatAutoExp,1,@TopCars_news,1,iPh,20,,,rajsaini00c,4,,
#entrepreneur,1,@scaniaindia,1,gonna,20,,,ParasharzBoy,4,,
#monster,1,@prabhak2161,1,Passion,20,,,TOIAuto,4,,
#blogspot,1,@ap61192,1,?????,20,,,kumarpravesh15,4,,
#VITARA,1,@Rautela,1,Vadra,20,,,tkaran50,4,,
#kidscompany,1,@Flipkart,1,Dapper,20,,,ShekharDC,4,,
#HighlightDay2,1,@relishingrascal,1,Le,20,,,rohit_khurana,4,,
#oculusrift,1,@SaketJain,1,en,20,,,BeingBaabuji,4,,
#FMX,1,@iLuckyVaibhav,1,Stylish,20,,,guf_khan,4,,
#muslim,1,@ShavetJain,1,9.15,20,,,route_33,4,,
#Q7,1,@BrownieHogger,1,inside,20,,,saver_jain,4,,
#Justcause,1,@quest_media,1,business,20,,,aadee_ram,4,,
#ENTORQ210,1,@SuzukiHayabusa,1,Beat,20,,,JawaanChokhra,4,,
#TeslaMotors,1,@anrad73,1,Photos,20,,,LalitCh1989,4,,
#Bajaj,1,@tkaran50,1,Impressive,20,,,RocKstrGirl,4,,
#UsedCars,1,@rohanstar_,1,please,20,,,Sing_Suman,4,,
#UP,1,@PatelNadeem,1,????,20,,,AshishGunta,4,,
#HighlightDay1,1,@dheemant1008,1,sub,20,,,madhury_vyas,4,,
#ScaniaTrucks,1,@JohnAbraham_On,1,hour,20,,,JagwaniSonali,4,,
#Ferocitas,1,@JaspalS,1,She,20,,,ThakurRakeshkr,4,,
#shades,1,@sabka_appa,1,changer,20,,,barkha_bajaj,4,,
#strong,1,@virendr58699905,1,Singh,20,,,CarDekho,4,,
#bmwspotted,1,@Ba,1,tickets,20,,,sosweet196,4,,
#Akshay,1,@jayanta198888,1,Quotient,20,,,8niranjan,4,,
#Becauseracecar,1,@Rahul_ibn,1,Must,20,,,ji_nikesh,4,,
#photogallery,1,@rahulnanda86,1,checked-in,20,,,Manav_Raj12588,4,,
#MotorShow,1,@MeThePooh,1,After,20,,,BiniBasheer1,4,,
#yezdi,1,@Aditi08,1,Arya,20,,,milans46,4,,
#Islam,1,@ThalaAjith56,1,images,20,,,DARE_DIVYA,4,,
#PIAGGIO,1,@mohit1601,1,Taking,20,,,Chai_Point,4,,
#SELFIEFORSEB,1,@pratikzart,1,Robert,20,,,Rakesh123Sinha,4,,
#JBM,1,@shenoy_cd,1,follow,20,,,Ikesari0001,4,,
#waitingtotest,1,@arianagrande,1,happy,20,,,happee_rajput,4,,
#hotnesspersonified,1,@ItsNewBeginning,1,Wins,20,,,papahmuda,3,,
#500K,1,@ryustreet,1,web-series,20,,,katakingrider,3,,
#SelfieSticks,1,@lovingjigi,1,Components,20,,,acrossUpdate,3,,
#brv,1,@abdullabashir,1,AUTOTODAYMAG,19,,,charmingmitu,3,,
#aaj,1,@VarunHeta,1,legendary,19,,,rahulchhanesh,3,,
#TheHindu,1,@auto,1,Motorcycle,19,,,prashant_mca007,3,,
#swag,1,@Metro_TV,1,raising,19,,,CorvetteTopNews,3,,
#carscreen,1,@poojayv,1,Tyre,19,,,TheRealVK09,3,,
#46,1,@raginitweets,1,inaugurates,19,,,bharatpress,3,,
#telematics,1,@NewIndianXpress,1,fabulous,19,,,iVoteForBest,3,,
#bhavikb,1,@quikr,1,SRT,19,,,Rima4Ranbir,3,,
#Vitara,1,@hyundaimobil,1,speaks,19,,,khabarchii,3,,
#Elicar,1,@giveawayzinc,1,tweeps,19,,,Flamingo9i,3,,
#bmwsundaysnaps,1,@UjjwalPatel17,1,Autos,19,,,siddelwample,3,,
#autoentrepreneur,1,@Priyarathod2468,1,machine,19,,,karishmadmpy,3,,
#offroad,1,@mopeegiveaway,1,muscle,19,,,NewsRelease24x7,3,,
#BREZZA,1,@deepak9565,1,name,19,,,ChipuSultan,3,,
#formulaone,1,@asli_bauaa,1,Essentia,19,,,topspeedin,3,,
#TheriTeaser,1,@shoootinstar,1,Facebook,19,,,papakipari19,3,,
#bmwi8,1,@Forescriber,1,UM,19,,,giveawayflava,3,,
#BMWMotorsport,1,@tweetaayaha,1,dreams,19,,,IFashnStyle,3,,
#AdventureTravel,1,@TweetZaade,1,Like,19,,,amarkamble3341,3,,
#USAvCAN,1,@tapseepannu,1,competition,19,,,gra_vish,3,,
##VideoMTV2015,1,@HaryanaTweets,1,Who,19,,,DoorbarShivjee,3,,
#FootballASong,1,@AravinthNak,1,Beast,19,,,Vickey09AkFan,3,,
#ToyotaPremiumS,1,@AadarshBalak,1,complete,19,,,AshiJain04,3,,
#Jaipur,1,@SriSri,1,endorse,19,,,TOINoida,3,,
#Tatamotors,1,@frankiejgrande,1,innovations,19,,,abhi08_,3,,
#Ghayal,1,@Brewkenstein,1,VW,19,,,journomayank,3,,
#NewsUPDATE,1,@SuzukiMotoGpFan,1,date,19,,,kurmiAnil_,3,,
#wrangler,1,@AmitTechnoholik,1,Aditi,19,,,syedfarajuddin,3,,
#youawesome,1,@MumbaiAkkians,1,industry,19,,,anurag_gk,3,,
#TFBJP,1,@AllwynEmmueal,1,went,19,,,deepak4ualways,3,,
#ProudMoment,1,@NextCEOBiz,1,Camaro,19,,,Chachdry,3,,
#legendsofyesterday,1,@Rakesh123Sinha,1,?,19,,,akvjkar,3,,
#TopStories,1,@flippa,1,book,19,,,TheBharat24x7,3,,
#Spin,1,@VikashRow38,1,Prologue,19,,,TheHorizonMan,3,,
#Sunday,1,@shoaib2095,1,smart,19,,,enjoyall2902,3,,
#ItalianRocks,1,@SUFIBABA2,1,believe,19,,,akash_rockzz,3,,
#??????????,1,@Aanchal1726,1,forgot,19,,,BharatBulletin,3,,
#unprofess,1,@dhanushkraja,1,definitely,19,,,krutinraj007,3,,
#MatteGrey,1,@Prasanna_actor,1,annual,18,,,ManishTiwaari,3,,
#EDUCATION,1,@ndbros,1,300,18,,,aptem155,3,,
#Vios,1,@IMeeghaa,1,Kindly,18,,,SirishChandran,3,,
#handmade,1,@mohitjo,1,launching,18,,,Kvgarg1,3,,
#LandRoverNews,1,@Au,1,variant,18,,,ritupandiit,3,,
#Nissa,1,@_sachinbansal,1,OF,18,,,nicky_gurnani,3,,
#MadeInIndia,1,@JagbaniOnline,1,Rush,18,,,iAshwin777,3,,
#Hero's,1,@YAMAHA,1,CNG,18,,,BrBraley,3,,
#Kota,1,@dilbagh_gill,1,??,18,,,Myloveakki_,3,,
#AWESUM,1,@DucatiMotor,1,guess,18,,,Aanchal1726,3,,
#CaR,1,@saraf_silky,1,Autoexpo,18,,,Dorothy76194466,3,,
#8216,1,@sodelhi,1,double,18,,,dollysweetz,3,,
#SachinSachin,1,@Prodyovidhi,1,Centre,18,,,Reena_Rana2015,3,,
#TeamTornadoesRacing,1,@ArvindKejriwal,1,Priced,18,,,DesiNews24x7,3,,
#fastandfurious,1,@ssrinivasarun,1,American,18,,,loveyouakki_,3,,
#Tucson,1,@iam_avnish,1,rich,18,,,shail_adit,3,,
#fordindia,1,@Ramprasad43,1,available,18,,,soundarrajan2,3,,
#Zimbabwe,1,@BangaliBaba_,1,wins,18,,,Lovelyycious,3,,
#fordpavilion,1,@airnewsalerts,1,??,18,,,cool_prashanth,3,,
#viratkholi,1,@kundanmandloi3,1,??,18,,,AnirudhLamba,3,,
#OTWOLFrustration,1,@chintanbhaidani,1,winner,18,,,DainikBhaskar,3,,
#Private21SciTech,1,@MapmyIndia,1,parking,18,,,AnupNair722,3,,
#The,1,@DelhiInsider,1,huge,18,,,Siddhantbarik1,3,,
#Kolhapur,1,@LalGarima,1,global,18,,,Gaoutham,3,,
#MyReasonToRide,1,@rising_pooja,1,O,18,,,iAkshayHolic,3,,
#thruxtonr,1,@TheKnownymous,1,lines,18,,,IndianMotorIND,3,,
#smartCities,1,@anju9425,1,starts,18,,,vuttejkumar2,3,,
#mobilefilmmaking,1,@subhkirti,1,aaya,18,,,MANJULtoons,3,,
#RaceTrack,1,@driveskills,1,Street,18,,,YuvarajniAkki,3,,
#Showcased,1,@varungarg29,1,??,18,,,MarutiCiaz,3,,
#Ottawa,1,@ShereenBhan,1,bringing,18,,,NewsSpace360,3,,
#luxurycars,1,@worldcarfanscom,1,Only,18,,,dhama64,3,,
#HondaConnect,1,@DwarkaParichay,1,flabbergasted,18,,,_Manish_Sharma_,3,,
#VSC,1,@DigitalSumit,1,1226,18,,,Kool_Anjana,3,,
#HyundaiNews,1,@swatant54440781,1,Perfect,18,,,chintanbhaidani,3,,
#rides,1,@lkeshkumarsingh,1,entertainment,18,,,Babu__0,3,,
#Akki,1,@BhaveshMirgh,1,????,18,,,DevBabu29,3,,
#LahoreQalandars,1,@am_p_k,1,perfect,18,,,sirravi727,3,,
#work,1,@CelebrainLTD,1,??,18,,,24punjab,3,,
#Best,1,@Premgiamaren,1,products,18,,,HDoreward,3,,
#followback,1,@vrsvno,1,KWID,18,,,GauravSaha,3,,
#EicherAutoexpo,1,@HalsDemon,1,Gold,18,,,potnis_rahul,3,,
#tweetoftheday,1,@tejal1191,1,But,18,,,Hitesh2617,3,,
#VWPolo,1,@honda2wheelerinPls,1,prologue,18,,,gopalakrishnan5,3,,
#2point0,1,@NerdPreeti,1,adventure,18,,,tweety_aysshh,3,,
#ISUZU,1,@PiratedSardar,1,??,18,,,autonsales,3,,
#BDMelodi_332,1,@imchriskelly,1,Slideshow,18,,,sandy_ns,3,,
#MGP3O,1,@latthbaz,1,scooters,18,,,aditya_indian3,3,,
#Top10,1,@_deveshgupta,1,detail,18,,,sabrininhahot,3,,
#top10,1,@ShrNitin,1,students,18,,,Desh24x7,3,,
#Guys,1,@parab_parth,1,???,18,,,ReporterFeeds,3,,
#lohia,1,@pollution_baba,1,promoting,18,,,NandanDodiya,3,,
#LED,1,@GlobalGiants,1,enjoy,18,,,MercedesUpdate,3,,
#trueinspiration,1,@thefactilicious,1,Innovative,18,,,SabGolmaalHai,3,,
#IndiaHindi,1,@kar_bunty,1,play,18,,,priyanshitravel,3,,
#BrezzaVittara,1,@Sweetseii,1,Explore,18,,,24x7KhabarSamay,3,,
#AeroConcept,1,@BerberianSergio,1,????,18,,,BiKatWali,3,,
#RoadMaster,1,@swarmapp,1,reports,18,,,DianaCh93093237,3,,
#bmwmotorrad,1,@TazyeenKhan,1,??????,18,,,333mayank,3,,
#Engine,1,@DBaradiya,1,?????,18,,,manokanan28,3,,
#virtual,1,@bloglovin,1,?,18,,,iamachaljain,3,,
#IgniteT,1,@KaminiBae,1,secure,18,,,premkideeweni,3,,
#Poll,1,@aneja_dinesh,1,???,18,,,iamrealmayur,3,,
#SmartTrucking,1,@halley_27,1,interiors,18,,,indra089693,3,,
#ITVideo,1,@pankkajl,1,makeover,18,,,RichaChhawchhar,3,,
#aud,1,@VishvaTimes,1,Mind,18,,,artha516,3,,
#brandambassador,1,@OctaneAddict,1,Killer,17,,,TheDesiNews,3,,
#videonews,1,@sharmilagharpur,1,hunks,17,,,MasseyAnubhav,3,,
#Day,1,@HRaparla,1,entire,17,,,akahay7,3,,
#HUMPDAY,1,@_deepakagarwal,1,came,17,,,suryasolanki12,3,,
#Nozaki,1,@activeindian,1,simple,17,,,NewsExpose24x7,3,,
#PiaggioIndia,1,@hharisinghani,1,Concepts,17,,,PRIYANK_SEO_SMO,3,,
#AutoExpoAtNoida,1,@BradDuguid,1,Sports,17,,,drift_singh,3,,
#FindlayHondaHenderson,1,@Prayag12,1,????,17,,,ManyaSinghh,3,,
#Mercedes-Benz,1,@NexaExperie,1,three,17,,,thakurjaswinde3,3,,
#LuxuryCars,1,@nitianrupesh,1,walkaround,17,,,BitovImanovski,3,,
#ontopictalkshow,1,@blogadda,1,movie,17,,,Truck_Financing,3,,
#autoporn,1,@patel12dapo,1,Every,17,,,JustShukla,3,,
#Hyperion,1,@ApusGroup,1,destination,17,,,ShubhodeepTOI,3,,
#Linea125S,1,@Dhruv_Axom,1,Transmission,17,,,ratedsrk,3,,
#automobiles,1,@AbS06,1,F,17,,,sharmarajeev99,3,,
#AutoExpostories,1,@toi_tech,1,JBl,17,,,Vulnerabiility,3,,
#NissanXtrail,1,@am_kmr,1,Going,17,,,h0p_ksks,3,,
#Bollywoodlove,1,@prashantyashpal,1,TRUE,17,,,OuterNews365,3,,
#whe,1,@wo_vvv_az,1,Besides,17,,,ThtsMePR,3,,
#AuthorLifeMonth,1,@NewsroomPostCom,1,????,17,,,KhiladiNetwork,3,,
#Curiosity,1,@LeoVisions,1,trucking,17,,,Dorothy76761447,3,,
#lazers,1,@huynhphuso,1,brilliance,17,,,APLatestNews,3,,
#vr,1,@iJayHR,1,Hybrids,17,,,suvadeep_paul,3,,
#TataMotorsatautoexpo,1,@Shaitaaaaan,1,announced,17,,,mytruxtransport,3,,
#brands,1,@9540369309,1,Automated,17,,,DorisHu83635102,3,,
#motoromantic,1,@nande_mc,1,??,17,,,hbounthiyal,3,,
#shotbyaneesh,1,@gabbar_je,1,MPV,17,,,Maharshi_58977,3,,
#ChhapraToday,1,@mo_vlogs_,1,??,17,,,greenghost19,3,,
#goodlooks,1,@yadavamit02125,1,roof,17,,,HindiNews24x7,3,,
#luxury,1,@ShriramAutomall,1,Try,17,,,newebnat,3,,
#BNIPromoImlek,1,@TrendsChennai,1,stealing,17,,,imtanujparashar,3,,
#Entry,1,@northbandin,1,?????,17,,,XBuckmaster,3,,
#snakeskin,1,@mystiquemess_,1,TV,17,,,roomeezon,3,,
#pragatimaidan,1,@mediacrooks,1,MGP,17,,,rishABhsax,3,,
#Tipo,1,@rajudasonline,1,brought,17,,,BhushanSRT,3,,
#POLARIS,1,@AutoExpo2014,1,Loot,17,,,amtak84,3,,
#bikestagram,1,@soodabhinav08,1,Brilliant,17,,,chaitree_parekh,3,,
#femalemodel,1,@fiddlesyou,1,Keep,17,,,LekhaUpadhyay,3,,
#ToyotaConnect,1,@MotorsTube,1,Guard,17,,,vandanathegreat,3,,
#Twitter,1,@Shindepa5Shinde,1,???,17,,,PravinrajLR,3,,
#NarendraModi,1,@monicadogra,1,:-),17,,,arhs201,3,,
#KejriwalCares,1,@Endevaour,1,A8L,17,,,lecomaxnews,3,,
#Motorsport,1,@Swatibhattacha,1,SF,17,,,Manikan18509747,3,,
#GYarAutoEXPO16,1,@AbbaAttaw,1,?????,17,,,edanmeng,3,,
#Launching,1,@Ashok_Uppuluri,1,Online,17,,,CSR_RT,3,,
#ScrossLE,1,@caesar63777,1,videos,17,,,MaskeShravasti,3,,
#ARCV,1,@nawabnabeel,1,timesofindia,17,,,rajstars,3,,
#instaclick,1,@contestmantra,1,Mans,17,,,Michaela2074,3,,
#maybach,1,@indiatoday,1,dream,17,,,divyansh301996,3,,
#aut,1,@hema_sharma1,1,Colorado,17,,,detecq,3,,
#KaranSinghGrover,1,@UKTriumph,1,releases,17,,,samarthsharma21,3,,
#Digiqom,1,@mohitraj,1,major,17,,,MeraBharat24x7,3,,
#MauriceWhite,1,@LADHAI,1,Urban,17,,,apashishp,3,,
#transformotion,1,@uniqueadsmedia,1,Carlino,17,,,Berita_I,3,,
#Sub4metre,1,@MashableIndia,1,KUV,17,,,MotorNad,3,,
#Apple,1,@GreatKhali,1,metre,17,,,PraseethaMv,3,,
#rajasthandiaries,1,@NexaE,1,due,17,,,fernadinhahot,3,,
#misssupranational,1,@capersrouge,1,heard,17,,,romifadlullah,3,,
#BizolGrenvo,1,@alexguiarebello,1,650,17,,,JohnAbraham_On,3,,
#AMuS,1,@amand9889,1,hearts,17,,,chandanbeta1487,3,,
#DigitalTransformotion,1,@RahulUnofficial,1,shown,17,,,HellaIndiaIAM,3,,
#IndiaExpoMart,1,@Sahilgarg1788,1,browser,17,,,PrabhakarSahil2,3,,
#street,1,@drivespar,1,view,16,,,Bobin_James,3,,
#modelgirl,1,@eBay,1,two-wheeler,16,,,pimentinhahott,3,,
#Turbo,1,@YouTube????,1,"14,",16,,,PatrikaNews,3,,
#howtocustomize,1,@Dot_Singh,1,Eolab,16,,,Jugal425,3,,
#pegadinha,1,@bharat_falswal,1,jams,16,,,iBrijen,3,,
#ShahRukh,1,@HarryDouglas,1,hello,16,,,mr_khiladi24,3,,
#AjayDevgn,1,@Aku15Singh,1,Repsol,16,,,TeamKhiladi,3,,
#BHO3,1,@zeishan_quadri,1,Classic,16,,,radgy908,3,,
#PhotoGallery,1,@saurabhsah333,1,Evening,16,,,sanjeetkumarit,3,,
#cnbshow,1,@dollykumar90,1,finish,16,,,kunalsajan,3,,
#DatsunP,1,@AnandGroupIndia,1,??????,16,,,terminator043,3,,
#BalenoR,1,@cswapnil05,1,avoid,16,,,_zDunggio,3,,
#conceptdesign,1,@dirlingusamy,1,Which,16,,,Dorothy68284924,3,,
#Insta,1,@DrShefali23,1,Manual,16,,,Roshan110Roshan,3,,
#Cheers,1,@venram_11,1,Latest,16,,,SWM_87,3,,
#newcars,1,@RavishKumarNDTV,1,main,16,,,cnbenthusiast,3,,
#islamicstate,1,@hemanthgoalla,1,VR,16,,,naik_raish,3,,
#loveforcars,1,@deepak4ualways,1,IndiaToday,16,,,gowtham8803,3,,
#Expomart,1,@AlekhandraKhan,1,beeld,16,,,iAkshayFanatic,3,,
#PeopleCrazy,1,@nalin_mehta,1,?,16,,,akshitdhumal92,3,,
#AmericanFootball,1,@KPIT,1,Cruiser,16,,,BharathModi,3,,
#mahindraracing,1,@MyMotoringWorld,1,lineup,16,,,theaartibhalla,3,,
#autosarena,1,@fiat_ita,1,bring,16,,,Navi490470,3,,
#StayCalm,1,@shaels,1,package,16,,,anbuselvams,3,,
#ChevroletIndia,1,@amit12210903,1,Bringing,16,,,BharatRathi16,3,,
#finfiction,1,@SRKnitin_rathod,1,We've,16,,,nishantparekh38,3,,
#app,1,@madhurbatra,1,Ok,16,,,Agung_1403,3,,
#Burgman,1,@StarAshaBhat,1,save,16,,,CoronadJer,3,,
#mercGL,1,@Virus_CaRNaGe,1,Hero's,16,,,Ottawalimousine,3,,
#friendsday,1,@ndtvindia,1,draw,16,,,RahulUnofficial,3,,
#HondaCars,1,@Bhuvan_Bam,1,guy,16,,,raagwasgood,3,,
#trueadventure,1,@lean_india,1,insenroy,16,,,Trending_India,3,,
#Aut,1,@PrerikaJakhar,1,kumar,16,,,carzoomindia,3,,
#kite,1,@vikingthakkar,1,khatam,16,,,roitm,3,,
#TataSafari,1,@raviishndtv,1,partner,16,,,CatchNews,3,,
#About,1,@MotorFry,1,Up,16,,,UrRandomGeek,3,,
#MercedesBenzatautoexpo,1,@LuxuryReporter,1,sab,16,,,VrshaVarsha,3,,
#SUPPORTLOCAL,1,@DougRevolta,1,met,16,,,Rafli_rizky404,3,,
#1200Custom,1,@AryanSarath,1,control,16,,,archie229,3,,
#travelblogger,1,@karishmadmpy,1,??,16,,,Chahatdeep_S,3,,
#History,1,@KapilMishraAAP,1,engines,16,,,peruliyad,3,,
#Pavillion,1,@JungleeBillli,1,VIP,16,,,GLAadventure,3,,
#SalmanKhan,1,@bhappyharsha,1,toyota,16,,,MRFWorldwide,3,,
#fordae2016,1,@india_samvad,1,segment,16,,,DeepikadubeyD,3,,
#greatday,1,@VisheshCC,1,E1T,16,,,gaurigupta1,3,,
#bisnis,1,@pk_sharma1995,1,anyone,16,,,abjitrock,3,,
#DORCHESTER,1,@sardesairajdeep,1,Cutting,16,,,coulson2014,3,,
#Funny,1,@navbharat,1,hua,16,,,vaisakhmohan15,3,,
#tataKite,1,@ScaniaGroup,1,card,16,,,mainak2das,3,,
#Fahrzeug,1,@kazal1401,1,hands,16,,,AllenaNindy,3,,
#worthit,1,@happysi08326506,1,litre,16,,,alarvabbirthwo1,3,,
#7Series,1,@Sensible_Mona,1,Feel,16,,,sonisoni1515,3,,
#carsarelife,1,@Jethalal_Ji,1,per,16,,,vijay_naman,3,,
#delhievents,1,@FunduFundas,1,Monday,16,,,Ishikaa__,3,,
#Digital,1,@Bespokebids,1,Naye,16,,,ajeetrao2,3,,
#Busworld,1,@Khabarchhe,1,1000,16,,,ccool_girl,3,,
#AUTO,1,@ad_sonawane,1,makers,16,,,Snapready,3,,
#TheFutureOfLuxury,1,@cherrykaur,1,service,16,,,Bumbleb008,3,,
#Expo2010Shangai,1,@shyvish,1,began,16,,,venky6666,3,,
#apusheadlines,1,@wbs_mehul,1,Gets,15,,,nivedithg,3,,
#OddEven,1,@SRKUniverseBAN,1,whole,15,,,Dorothy22353874,3,,
#tender,1,@IPL,1,cell,15,,,satrajitc,3,,
#interior,1,@Text100India,1,season,15,,,PakkiKhabar24x7,3,,
#ABS,1,@VijayMavinkurve,1,???,15,,,jovitoc,3,,
#Speedways,1,@SRKfanSultan,1,beat,15,,,kumarshukladec8,3,,
#contentmarketing,1,@modipreksha,1,F-Pace,15,,,NewsMasti,3,,
#iendrosepublictransport,1,@turbos_npistonz,1,takers,15,,,borntowin589,3,,
#takata,1,@diwate_santosh,1,CityWide,15,,,Dorothy71455419,3,,
#machinery,1,@Sandeep_Phaugat,1,dashing,15,,,alishervani,3,,
#Facebook,1,@TitoriTingly,1,MEN,15,,,SriniKay,3,,
#HQUK,1,@s_priyanka26,1,hunk,15,,,andirabintang94,3,,
#Daice,1,@Jeevant,1,Gorgeous,15,,,Poorvi121,3,,
#CompactSUV,1,@rohinnagrani,1,late,15,,,MapsofIndia,3,,
#syrautoexpo,1,@FordThailand,1,fit,15,,,tyna_ca,3,,
#GYatEXPO,1,@LotusJasmine007,1,wish,15,,,jatinbutty333,3,,
#withbros,1,@SEO_Maker,1,fully,15,,,AkkiFanYash,3,,
#YANAHA,1,@vinayakskothule,1,NEW,15,,,Tricolorer,3,,
#Tecnología,1,@NabanitaSRoy,1,Team,15,,,rahulreport,3,,
##MylerAtExpo,1,@nitishsharma18,1,premium,15,,,mgherkar,3,,
#201,1,@MotorcyclesFor,1,SCe,15,,,LuxuryAttack,3,,
#rajinikanth,1,@shiva0000111,1,gareeb,15,,,AFGPNews,3,,
#Top50FansSelenaGomez,1,@Ferrari,1,CarDekho,15,,,VikassJV,3,,
#NewBMW3series,1,@agaali786,1,Flipkart,15,,,DougRevolta,3,,
#iconiccar,1,@elitei20,1,morning,15,,,gupta_rima,3,,
#tataHexa,1,@ramkid,1,Saha,15,,,Tygersden,3,,
#forbes,1,@sujicokein,1,mascot,15,,,comeonbefair,3,,
#jeepindia,1,@Modifikasicom,1,Ameer,15,,,paragsawant,3,,
#ga,1,@JainRahulindore,1,Simply,15,,,shanmugam1409,3,,
#bikesofinstagram,1,@abhinavpmishra,1,Checkout,15,,,PashminaKaif,3,,
#sun,1,@makeinindia,1,editions,15,,,KaNiha_,3,,
#SeasonsCatering,1,@vipul903,1,Chalo,15,,,IslamSharmin33,3,,
#Ins,1,@DeepaliMoray,1,premiere,15,,,kirtiraj111,3,,
#swachbharat,1,@Manishinsa77,1,SD,15,,,Myquotes_pk,3,,
#MahindraXUV,1,@gkmiddha,1,Started,15,,,sophiacristine3,3,,
#GlobalWarming,1,@CrazyTambde,1,liye,15,,,Iprateek1992,3,,
#ThankYou,1,@NiSGill,1,lapse,15,,,knightrides,3,,
#BoltSport,1,@imumair123,1,sees,15,,,talatumylove,3,,
#isayyes,1,@AshiJain04,1,UK,15,,,me_ritabrata,3,,
#prank,1,@ankurf1,1,wallpaper,15,,,nishant79ster,3,,
#MeraBetaEnginer,1,@motohive,1,??,15,,,iambunny28,3,,
#luxurysuv,1,@WeAreHyderabad,1,d0,15,,,anddyangel,3,,
#SML,1,@SadhuNaga,1,search,15,,,NewsSpy24x7,3,,
#OG,1,@lalitfulara,1,riding,15,,,rajkumartharwa4,3,,
#FordPavilionInnovational,1,@ash_r_dhanush,1,cap,15,,,bhargavpateln,3,,
#asia,1,@AvinashShetty56,1,j,15,,,HukkaKing1,3,,
#bikeride,1,@MYDEMYTO,1,Friday,15,,,khan_subhendu,3,,
#money,1,@RavishKumarNdtv,1,eye,15,,,YahooIndia,3,,
#PiyushRatnu,1,@Yuvlicious,1,Bajaj,15,,,bhardwajspeaks,3,,
#audiautoexpo,1,@theapcuk,1,;),15,,,harkirat88bajw1,3,,
#Virat,1,@PRNonly4u,1,awesomeness,15,,,WagonsLearning,3,,
#components,1,@auto_telegraaf,1,motorcycles,15,,,KhabarSpy,3,,
#consumerforum,1,@AbhayKumarM,1,Outdoor,15,,,UrbanTrunk,3,,
